"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)","station"
"08","1005.8","1006.2","1013.3","2011-08-15 09:35","987.7","2011-08-29 02:51","29.5","34.0","2011-08-21 12:23","25.0","2011-08-30 23:05","24.8","2.6","170","21.4","250","2011-08-29 15:44","367.5","73.0","10","16.5","2011-08-07 10:12","39.5","2011-08-29 11:53","172.5","2011-08-29 00:00","76","147.5","235.6","549.44","...","...","...","5.6","kaohsiung"
"09","1007.9","1008.3","1012.9","2011-09-09 22:13","1001.2","2011-09-01 03:32","28.7","33.7","2011-09-29 13:03","25.1","2011-09-13 06:04","23.9","1.6","310","9.1","300","2011-09-30 13:26","71.5","9.3","8","14.5","2011-09-30 18:26","39.5","2011-09-30 18:15","40.5","2011-09-30 00:00","75","133.6","192.0","495.29","...","...","...","5.5","kaohsiung"
"10","1012.4","1012.8","1017.2","2011-10-27 08:46","1004.8","2011-10-02 04:46","27.0","32.3","2011-10-10 10:40","22.8","2011-10-28 06:04","22.4","1.4","310","7.8","310","2011-10-20 14:15","55.0","48.6","7","2.0","2011-10-11 05:58","5.0","2011-10-10 22:28","19.0","2011-10-14 00:00","77","98.5","167.4","398.78","...","...","...","5.2","kaohsiung"
"11","1014.0","1014.3","1021.6","2011-11-21 08:31","1004.9","2011-11-10 03:15","25.2","31.4","2011-11-19 13:20","19.8","2011-11-28 06:29","21.1","1.5","310","10.7","160","2011-11-18 10:27","172.5","79.6","10","9.5","2011-11-10 21:59","26.5","2011-11-10 06:01","118.5","2011-11-10 00:00","79","64.9","130.2","293.17","...","...","...","6.3","kaohsiung"
"12","1017.8","1018.2","1024.6","2011-12-27 08:54","1010.5","2011-12-01 14:51","20.1","28.7","2011-12-07 13:07","13.6","2011-12-24 06:33","15.5","1.8","350","11.9","20","2011-12-03 02:25","40.5","31.7","6","3.5","2011-12-12 17:18","11.0","2011-12-12 17:03","24.0","2011-12-12 00:00","76","58.7","93.4","263.83","...","...","...","6.7","kaohsiung"
"01","1017.1","1017.5","1023.6","2012-01-05 09:21","1007.2","2012-01-15 15:52","19.3","28.3","2012-01-19 12:53","13.3","2012-01-05 01:15","14.6","2.0","350","13.3","350","2012-01-16 04:48","T","1.8","0","T","2012-01-05 17:35","T","2012-01-05 17:35","-9.8","2012-01-05 00:00","75","71.2","177.1","350.03","...","...","...","4.8","kaohsiung"
"02","1015.5","1015.9","1022.3","2012-02-03 08:45","1007.9","2012-02-23 15:11","20.1","29.7","2012-02-15 12:49","12.7","2012-02-09 02:37","15.5","2.0","350","15.3","340","2012-02-28 11:36","30.5","40.5","7","3.0","2012-02-05 20:02","3.0","2012-02-21 11:26","17.0","2012-02-21 00:00","76","74.2","165.0","363.43","...","...","...","5.7","kaohsiung"
"03","1014.6","1015.0","1022.3","2012-03-27 09:48","1007.3","2012-03-07 16:58","23.6","32.3","2012-03-23 12:45","15.4","2012-03-11 22:56","18.0","2.0","350","11.8","350","2012-03-24 02:27","8.5","8.4","2","1.0","2012-03-12 08:49","4.0","2012-03-12 08:55","6.0","2012-03-12 00:00","71","122.0","216.3","489.51","...","...","...","4.5","kaohsiung"
"04","1011.8","1012.2","1019.4","2012-04-01 09:21","1006.6","2012-04-25 15:36","26.6","33.0","2012-04-15 13:49","21.1","2012-04-02 04:10","22.2","1.6","310","13.7","290","2012-04-28 14:14","112.5","31.2","10","6.5","2012-04-26 09:42","11.0","2012-04-26 09:20","28.0","2012-04-26 00:00","77","112.1","174.7","454.09","...","...","...","6.2","kaohsiung"
"05","1008.0","1008.4","1012.5","2012-05-18 21:43","1004.0","2012-05-20 17:01","28.0","34.0","2012-05-31 12:51","23.3","2012-05-05 04:56","23.8","1.6","310","9.3","180","2012-05-17 10:13","283.5","65.9","15","13.5","2012-05-20 11:44","35.5","2012-05-19 21:16","75.0","2012-05-19 00:00","79","128.1","231.8","539.91","...","...","...","5.1","kaohsiung"
"06","1004.1","1004.4","1010.7","2012-06-30 22:35","997.6","2012-06-20 04:42","28.5","34.4","2012-06-30 13:47","23.8","2012-06-21 00:50","25.1","2.4","170","22.4","170","2012-06-20 07:50","832.5","127.2","19","18.0","2012-06-12 07:40","39.0","2012-06-10 11:20","152.5","2012-06-12 00:00","83","119.2","164.5","432.90","...","...","...","6.9","kaohsiung"
"07","1005.6","1005.9","1011.4","2012-07-01 21:45","989.5","2012-07-31 17:40","29.5","36.4","2012-07-23 11:41","25.2","2012-07-23 04:39","25.0","1.8","300","16.7","170","2012-07-21 15:08","52.5","33.7","14","3.5","2012-07-15 06:40","9.0","2012-07-25 17:38","12.5","2012-07-15 00:00","77","138.4","230.3","561.48","...","...","...","5.3","kaohsiung"
"08","1002.9","1003.3","1011.4","2012-08-17 21:02","986.0","2012-08-01 15:40","28.1","34.1","2012-08-23 13:50","22.9","2012-08-10 05:11","24.9","2.1","310","24.5","310","2012-08-02 04:26","756.5","110.6","22","17.0","2012-08-09 21:18","66.0","2012-08-07 10:43","155.0","2012-08-09 00:00","83","90.8","135.7","408.56","...","...","...","6.7","kaohsiung"
"09","1009.0","1009.4","1014.5","2012-09-06 23:02","1000.2","2012-09-28 14:21","28.7","33.6","2012-09-14 14:41","24.0","2012-09-02 03:25","23.2","1.7","310","12.0","330","2012-09-28 18:04","54.5","5.7","3","15.5","2012-09-14 16:33","33.0","2012-09-14 16:05","33.0","2012-09-14 00:00","73","143.7","218.8","513.96","...","...","...","4.6","kaohsiung"
"10","1012.8","1013.2","1019.0","2012-10-21 08:55","1007.1","2012-10-03 14:44","26.6","31.1","2012-10-17 13:16","21.7","2012-10-31 23:46","20.5","1.6","270","8.8","320","2012-10-22 14:54","0.7","7.2","1","0.5","2012-10-31 23:26","0.5","2012-10-31 22:36","0.7","2012-10-31 00:00","69","130.5","211.9","465.65","...","...","...","4.5","kaohsiung"
"11","1014.7","1015.1","1019.2","2012-11-16 09:00","1010.2","2012-11-22 14:59","24.9","32.1","2012-11-11 12:08","20.0","2012-11-27 06:19","20.0","1.4","310","10.2","350","2012-11-23 15:19","46.5","22.1","5","3.5","2012-11-17 05:13","12.0","2012-11-17 05:10","39.5","2012-11-17 00:00","75","81.6","168.6","329.77","...","...","...","5.1","kaohsiung"
"12","1016.5","1016.9","1023.0","2012-12-24 09:39","1010.4","2012-12-02 14:47","21.1","29.6","2012-12-16 13:07","11.0","2012-12-31 03:42","16.2","2.0","350","17.7","10","2012-12-30 08:07","18.5","19.9","4","2.5","2012-12-30 04:26","4.0","2012-12-30 04:03","9.0","2012-12-05 00:00","74","72.7","160.7","302.81","...","...","...","5.3","kaohsiung"
"01","1018.2","1018.6","1026.7","2013-01-18 09:00","1007.3","2013-01-13 14:47","19.7","27.9","2013-01-21 13:30","12.1","2013-01-18 06:49","14.2","2.2","350","17.3","340","2013-01-13 18:59","T","0.6","0","T","2013-01-02 22:25","T","2013-01-02 22:25","-9.8","2013-01-02 00:00","71","82.6","173.0","342.94","...","...","...","4.5","kaohsiung"
"02","1017.0","1017.4","1022.7","2013-02-23 09:43","1010.8","2013-02-18 15:20","22.3","30.1","2013-02-27 12:25","15.7","2013-02-09 06:45","17.2","2.1","360","10.9","330","2013-02-27 15:04","T","0.1","0","T","2013-02-02 01:35","T","2013-02-02 01:35","-9.8","2013-02-02 00:00","73","105.0","207.1","411.01","...","...","...","3.8","kaohsiung"
"03","1014.9","1015.3","1023.4","2013-03-05 09:43","1007.9","2013-03-24 05:03","23.9","31.1","2013-03-23 13:59","16.1","2013-03-03 02:50","18.1","2.0","310","17.4","330","2013-03-27 01:33","23.0","8.8","5","4.5","2013-03-27 01:44","9.0","2013-03-31 06:31","13.0","2013-03-31 00:00","71","124.0","220.9","489.77","...","...","...","4.3","kaohsiung"
"04","1011.8","1012.2","1018.3","2013-04-12 09:36","1002.3","2013-04-06 03:13","25.1","31.0","2013-04-25 16:28","17.2","2013-04-07 05:10","20.5","1.7","310","14.7","280","2013-04-06 00:48","94.5","35.7","8","12.5","2013-04-06 01:01","42.0","2013-04-06 00:32","51.5","2013-04-06 00:00","76","104.9","130.3","386.90","...","...","...","6.9","kaohsiung"
"05","1009.5","1009.9","1015.7","2013-05-05 09:50","1004.8","2013-05-20 16:40","27.6","32.8","2013-05-30 13:43","21.6","2013-05-02 18:26","24.1","1.6","310","13.9","290","2013-05-01 04:35","351.0","61.4","14","15.0","2013-05-18 09:42","64.5","2013-05-18 09:21","183.5","2013-05-18 00:00","82","116.2","173.6","464.85","9","12","2013-05-09 13:00","6.6","kaohsiung"
"06","1006.9","1007.2","1012.0","2013-06-05 07:46","1000.1","2013-06-19 16:00","29.8","34.5","2013-06-30 12:21","25.5","2013-06-23 22:07","25.2","1.9","310","16.8","160","2013-06-21 15:14","87.0","27.8","9","8.0","2013-06-23 21:21","22.0","2013-06-23 21:15","31.0","2013-06-23 00:00","77","151.0","238.6","564.78","...","...","...","5.1","kaohsiung"
"07","1008.4","1008.8","1013.1","2013-07-08 08:05","995.1","2013-07-13 01:13","29.7","35.7","2013-07-01 12:03","24.6","2013-07-14 08:59","24.8","2.3","180","18.4","330","2013-07-12 16:18","185.5","31.0","12","15.5","2013-07-09 16:07","50.5","2013-07-14 07:53","84.5","2013-07-14 00:00","75","169.6","248.1","576.32","...","...","...","5.4","kaohsiung"
"08","1006.1","1006.5","1014.4","2013-08-03 21:40","988.9","2013-08-21 14:43","29.0","34.3","2013-08-13 13:17","23.2","2013-08-29 19:42","25.3","2.4","320","19.5","320","2013-08-31 04:01","765.7","132.6","17","20.0","2013-08-31 08:20","55.5","2013-08-29 03:07","293.0","2013-08-29 00:00","81","117.6","185.0","435.92","...","...","...","6.2","kaohsiung"
"09","1007.5","1007.9","1013.7","2013-09-07 21:57","983.7","2013-09-21 16:16","28.6","32.6","2013-09-16 14:02","22.8","2013-09-02 06:03","24.0","2.0","290","20.3","160","2013-09-22 03:41","93.5","31.2","7","7.5","2013-09-12 16:34","22.0","2013-09-22 03:09","35.0","2013-09-22 00:00","77","127.0","219.9","535.72","...","...","...","4.7","kaohsiung"
"10","1011.3","1011.7","1019.5","2013-10-28 08:24","998.7","2013-10-06 15:12","26.6","31.5","2013-10-01 12:18","20.6","2013-10-27 03:36","20.5","2.0","270","21.6","340","2013-10-06 16:10","23.0","3.1","2","9.5","2013-10-10 17:22","18.5","2013-10-10 17:15","22.5","2013-10-10 00:00","69","135.1","243.3","517.72","...","...","...","3.5","kaohsiung"
"11","1015.7","1016.1","1023.1","2013-11-29 08:25","1009.9","2013-11-01 15:02","24.3","30.2","2013-11-03 10:08","14.7","2013-11-30 04:38","18.5","1.9","350","13.1","340","2013-11-25 01:37","17.0","4.5","2","7.5","2013-11-25 01:09","10.0","2013-11-25 01:06","14.0","2013-11-25 00:00","71","90.4","128.3","350.10","...","...","...","5.5","kaohsiung"
"12","1016.5","1016.9","1022.8","2013-12-22 09:06","1007.9","2013-12-17 14:01","19.9","28.9","2013-12-09 11:55","12.0","2013-12-28 05:44","13.5","2.3","350","17.8","10","2013-12-17 21:32","48.0","18.1","5","6.5","2013-12-16 21:45","19.5","2013-12-16 21:25","20.5","2013-12-16 00:00","67","82.5","139.1","331.79","...","...","...","5.6","kaohsiung"
"01","1019.0","1019.4","1025.5","2014-01-18 21:55","1010.9","2014-01-03 15:14","19.5","28.3","2014-01-03 13:24","11.1","2014-01-22 05:19","12.3","2.1","350","10.5","340","2014-01-08 16:24","0.0","0.0","0","0.0","2014-01-31 00:00","0.0","2014-01-31 00:00","0.0","2014-01-31 00:00","64","98.4","254.8","449.63","...","...","...","1.9","kaohsiung"
"02","1015.8","1016.2","1025.7","2014-02-21 08:56","1007.0","2014-02-07 16:57","20.3","28.5","2014-02-06 13:03","11.3","2014-02-11 06:01","14.5","2.2","310","13.6","340","2014-02-19 13:14","16.0","11.0","5","3.5","2014-02-10 06:08","4.5","2014-02-10 06:08","12.5","2014-02-10 00:00","70","87.6","184.6","376.83","...","...","...","4.2","kaohsiung"
"03","1016.2","1016.6","1022.8","2014-03-16 09:10","1006.5","2014-03-31 16:28","22.6","30.6","2014-03-27 11:52","16.8","2014-03-09 06:27","17.3","2.0","310","25.2","310","2014-03-31 03:10","67.0","8.6","2","21.5","2014-03-31 16:37","30.0","2014-03-31 16:35","66.5","2014-03-31 00:00","72","117.5","190.4","463.19","...","...","...","5.6","kaohsiung"
"04","1012.5","1012.9","1018.4","2014-04-06 08:25","1007.4","2014-04-01 17:35","25.9","31.7","2014-04-25 12:36","20.2","2014-04-05 05:17","20.7","2.1","310","14.5","340","2014-04-02 13:12","27.0","11.2","4","3.0","2014-04-15 22:31","10.5","2014-04-15 22:04","12.0","2014-04-15 00:00","74","128.5","197.8","521.51","...","...","...","5.3","kaohsiung"
"05","1010.2","1010.5","1016.3","2014-05-06 10:05","1005.3","2014-05-27 17:30","27.8","32.9","2014-05-24 11:03","21.9","2014-05-06 20:48","23.7","1.7","310","14.1","290","2014-05-20 17:22","198.5","36.4","13","16.5","2014-05-19 13:41","30.5","2014-05-19 12:52","45.0","2014-05-20 00:00","78","128.2","192.6","543.69","...","...","...","6.0","kaohsiung"
"06","1004.8","1005.1","1010.6","2014-06-30 23:27","996.8","2014-06-10 16:29","29.2","33.6","2014-06-01 13:04","25.0","2014-06-07 14:29","25.6","2.2","170","15.7","270","2014-06-07 14:14","235.0","46.1","19","20.5","2014-06-15 11:28","77.0","2014-06-15 10:44","103.0","2014-06-15 00:00","81","131.2","199.4","545.27","...","...","...","5.9","kaohsiung"
"07","1005.3","1005.6","1011.7","2014-07-26 22:49","987.7","2014-07-23 00:21","30.3","34.8","2014-07-05 10:43","25.7","2014-07-19 17:34","26.0","2.6","310","23.5","170","2014-07-23 12:43","309.5","30.1","9","22.0","2014-07-18 16:07","55.0","2014-07-18 15:36","118.5","2014-07-23 00:00","78","166.2","256.8","618.73","...","...","...","5.0","kaohsiung"
"08","1007.5","1007.8","1014.3","2014-08-28 21:45","998.2","2014-08-01 02:06","29.1","34.1","2014-08-18 13:46","24.8","2014-08-13 08:24","25.0","2.2","310","14.8","200","2014-08-18 14:28","902.0","85.6","18","23.5","2014-08-08 02:55","94.0","2014-08-08 02:49","261.5","2014-08-08 00:00","79","132.5","209.2","540.25","...","...","...","5.8","kaohsiung"
"09","1008.0","1008.4","1013.6","2014-09-27 08:26","991.2","2014-09-21 11:30","29.5","37.6","2014-09-15 11:49","24.6","2014-09-21 03:25","25.1","2.1","310","19.7","330","2014-09-21 12:54","172.0","34.1","10","10.0","2014-09-23 00:47","16.5","2014-09-21 07:18","109.5","2014-09-21 00:00","78","153.3","222.0","524.82","...","...","...","4.8","kaohsiung"
"10","1012.6","1013.0","1018.5","2014-10-16 09:00","1003.3","2014-10-10 14:47","27.2","33.0","2014-10-11 12:42","22.5","2014-10-16 04:53","21.1","1.9","310","10.8","320","2014-10-12 14:08","0.0","0.0","0","0.0","2014-10-31 00:00","0.0","2014-10-31 00:00","0.0","2014-10-31 00:00","70","142.2","268.6","538.21","...","...","...","2.8","kaohsiung"
"11","1015.1","1015.5","1019.9","2014-11-19 08:39","1009.6","2014-11-01 14:03","25.2","32.2","2014-11-02 11:45","20.1","2014-11-20 04:57","19.7","1.8","310","8.9","320","2014-11-08 14:44","1.5","1.1","1","1.0","2014-11-17 04:53","1.5","2014-11-17 04:15","1.5","2014-11-17 00:00","72","103.5","208.0","402.83","...","...","...","4.2","kaohsiung"
"12","1018.9","1019.3","1025.8","2014-12-18 08:25","1011.2","2014-12-01 13:56","20.2","28.6","2014-12-01 10:15","13.6","2014-12-22 06:03","14.1","2.1","350","14.3","340","2014-12-04 11:02","13.5","11.0","7","5.5","2014-12-04 05:42","6.0","2014-12-04 05:40","6.0","2014-12-04 00:00","68","78.7","110.2","289.54","...","...","...","6.9","kaohsiung"
"01","1019.0","1019.4","1024.8","2015-01-02 09:56","1011.9","2015-01-06 13:54","19.9","27.4","2015-01-05 13:34","14.1","2015-01-02 06:50","13.4","2.1","350","12.9","20","2015-01-14 12:26","6.0","3.6","2","1.0","2015-01-27 02:35","2.5","2015-01-27 02:30","5.0","2015-01-27 00:00","66","101.0","199.8","408.60","5","6","2015-01-30 13:00","5.0","kaohsiung"
"02","1017.9","1018.3","1025.3","2015-02-02 09:14","1010.6","2015-02-24 15:29","20.8","29.4","2015-02-26 12:43","12.3","2015-02-10 05:02","14.8","2.2","310","12.4","340","2015-02-12 09:04","38.0","4.7","3","11.5","2015-02-22 00:07","23.5","2015-02-22 00:01","23.5","2015-02-22 00:00","69","93.5","194.8","419.95","...","...","...","4.1","kaohsiung"
"03","1016.6","1017.0","1023.9","2015-03-25 21:59","1009.3","2015-03-03 15:15","23.6","29.7","2015-03-27 13:16","17.0","2015-03-11 06:00","18.3","2.2","310","12.2","320","2015-03-23 13:50","0.0","0.0","0","0.0","2015-03-31 00:00","0.0","2015-03-31 00:00","0.0","2015-03-31 00:00","72","122.2","204.6","498.59","...","...","...","5.2","kaohsiung"
"04","1013.4","1013.8","1018.7","2015-04-11 20:00","1007.4","2015-04-03 03:18","26.2","31.8","2015-04-05 13:43","18.5","2015-04-15 04:40","20.2","2.4","310","14.1","310","2015-04-14 12:56","7.0","4.3","4","1.0","2015-04-06 07:39","2.5","2015-04-06 07:12","3.5","2015-04-06 00:00","70","156.1","259.7","622.02","...","...","...","3.9","kaohsiung"
"05","1009.6","1009.9","1014.7","2015-05-15 09:35","1005.2","2015-05-28 16:13","28.3","33.6","2015-05-10 12:03","24.7","2015-05-26 10:02","23.9","2.0","280","13.2","280","2015-05-25 03:47","300.5","75.3","11","9.5","2015-05-31 15:11","22.5","2015-05-23 14:50","62.0","2015-05-25 00:00","77","130.6","213.6","561.80","...","...","...","5.4","kaohsiung"
"06","1008.4","1008.7","1011.9","2015-06-28 08:28","1004.1","2015-06-17 16:34","30.6","34.7","2015-06-22 12:22","25.9","2015-06-01 05:21","25.6","2.3","280","12.2","180","2015-06-23 08:12","10.0","1.6","2","5.5","2015-06-23 14:08","6.0","2015-06-23 14:05","8.0","2015-06-23 00:00","75","187.7","328.7","728.22","...","...","...","4.4","kaohsiung"
"07","1005.2","1005.5","1013.9","2015-07-28 21:22","993.9","2015-07-10 15:24","29.5","34.7","2015-07-05 12:57","25.0","2015-07-22 19:31","25.2","2.5","150","17.6","140","2015-07-08 21:01","200.0","50.8","15","13.0","2015-07-22 18:42","34.5","2015-07-22 18:40","39.0","2015-07-08 00:00","78","151.0","218.7","587.79","...","...","...","6.0","kaohsiung"
"08","1005.7","1006.0","1012.4","2015-08-02 07:35","979.5","2015-08-08 05:55","28.8","34.1","2015-08-24 15:03","23.8","2015-08-29 03:27","24.9","2.3","310","31.0","270","2015-08-08 07:38","548.0","90.1","17","15.0","2015-08-29 13:01","32.5","2015-08-09 02:11","162.5","2015-08-08 00:00","80","122.4","175.0","488.83","...","...","...","6.2","kaohsiung"
