"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)","station"
"11","1012.0","1014.8","1017.5","2010-11-09 21:39","1005.1","2010-11-22 14:58","23.9","29.0","2010-11-07 11:18","18.5","2010-11-29 06:10","17.9","5.0","40","28.6","40","2010-11-15 22:21","5.4","3.9","4","1.0","2010-11-13 14:44","1.7","2010-11-05 14:35","3.0","2010-11-13 00:00","69","150.2","138.7","407.21","...","...","...","5.2","hengchun"
"12","1011.5","1014.3","1016.2","2010-12-28 08:37","1005.4","2010-12-16 04:57","21.4","29.5","2010-12-13 13:55","14.3","2010-12-17 01:12","15.3","4.4","40","27.4","50","2010-12-16 09:27","1.2","1.3","2","0.5","2010-12-17 01:03","0.7","2010-12-17 00:18","0.7","2010-12-17 00:00","69","142.2","175.8","418.72","...","...","...","4.7","hengchun"
"01","1015.3","1018.2","1021.2","2011-01-31 08:44","1009.4","2011-01-14 14:53","19.2","25.4","2011-01-28 10:50","14.3","2011-01-16 05:47","13.6","5.4","40","26.6","360","2011-01-16 00:04","12.4","16.3","5","2.0","2011-01-28 14:05","3.0","2011-01-28 13:36","4.0","2011-01-28 00:00","70","120.5","109.5","378.22","...","...","...","6.4","hengchun"
"02","1012.6","1015.4","1019.1","2011-02-01 08:59","1003.4","2011-02-08 14:58","21.3","28.7","2011-02-28 11:11","14.2","2011-02-02 06:41","16.2","3.0","40","23.8","60","2011-02-12 04:53","18.5","9.4","4","2.5","2011-02-26 00:28","4.5","2011-02-26 00:08","10.0","2011-02-25 00:00","73","122.0","164.5","444.36","...","...","...","4.6","hengchun"
"03","1014.5","1017.4","1020.4","2011-03-17 09:44","1007.2","2011-03-20 15:05","20.9","29.7","2011-03-21 13:35","15.7","2011-03-28 02:38","15.3","5.3","50","26.1","20","2011-03-16 12:38","5.0","2.4","3","2.5","2011-03-07 09:58","2.5","2011-03-07 09:58","3.0","2011-03-07 00:00","71","169.1","138.9","557.77","...","...","...","6.0","hengchun"
"04","1011.1","1013.9","1017.9","2011-04-09 09:17","1003.6","2011-04-27 02:59","23.7","30.6","2011-04-30 13:29","18.0","2011-04-25 04:23","18.1","3.3","40","21.5","50","2011-04-23 18:20","40.3","2.6","1","13.5","2011-04-18 00:42","32.5","2011-04-18 00:32","40.3","2011-04-18 00:00","72","160.7","141.2","544.22","...","...","...","5.8","hengchun"
"05","1006.4","1009.2","1012.5","2011-05-15 09:24","994.4","2011-05-28 03:33","26.5","32.8","2011-05-13 12:26","21.6","2011-05-17 21:23","22.9","2.2","90","16.6","360","2011-05-27 09:06","127.4","36.9","12","19.0","2011-05-20 04:32","51.5","2011-05-20 04:15","71.0","2011-05-20 00:00","81","197.4","150.8","552.90","...","...","...","6.0","hengchun"
"06","1004.7","1007.4","1009.4","2011-06-30 22:07","990.6","2011-06-25 01:46","28.3","33.6","2011-06-14 13:20","23.4","2011-06-04 04:42","25.0","2.5","290","18.2","280","2011-06-25 05:13","339.4","46.9","12","22.5","2011-06-01 07:57","51.0","2011-06-20 06:32","76.5","2011-06-27 00:00","83","185.3","214.5","655.27","...","...","...","5.6","hengchun"
"07","1003.5","1006.3","1008.9","2011-07-01 00:04","996.7","2011-07-18 15:51","28.1","33.1","2011-07-31 13:03","24.1","2011-07-10 01:56","24.4","2.2","90","16.4","50","2011-07-27 12:52","443.2","77.8","16","12.0","2011-07-14 19:49","39.0","2011-07-10 01:45","94.0","2011-07-14 00:00","81","168.0","176.2","623.44","...","...","...","6.3","hengchun"
"08","1003.4","1006.1","1011.4","2011-08-19 08:45","977.6","2011-08-29 01:35","28.2","33.7","2011-08-21 12:56","23.3","2011-08-30 12:03","24.5","2.5","100","32.6","260","2011-08-29 02:35","1154.7","82.3","14","19.5","2011-08-28 05:38","89.0","2011-08-29 02:23","340.0","2011-08-28 00:00","81","217.4","191.8","576.50","...","...","...","5.3","hengchun"
"09","1005.5","1008.3","1010.7","2011-09-10 09:49","999.1","2011-09-01 02:41","27.5","32.3","2011-09-13 10:34","22.8","2011-09-07 04:21","23.0","2.7","40","21.8","20","2011-09-27 06:42","101.9","30.5","12","9.0","2011-09-28 08:32","16.0","2011-09-28 07:55","38.0","2011-09-28 00:00","77","77.8","159.0","563.41","...","...","...","5.2","hengchun"
"10","1009.8","1012.6","1014.5","2011-10-27 21:05","1002.3","2011-10-02 03:47","26.3","31.4","2011-10-04 12:42","22.8","2011-10-21 03:46","21.2","4.6","40","25.3","60","2011-10-02 06:08","190.2","43.0","9","11.5","2011-10-02 08:57","34.0","2011-10-02 08:12","89.5","2011-10-02 00:00","74","117.4","154.2","484.62","...","...","...","5.4","hengchun"
"11","1011.3","1014.1","1019.4","2011-11-21 08:32","1003.2","2011-11-10 14:12","25.2","30.3","2011-11-06 09:34","18.8","2011-11-28 04:58","20.5","4.4","40","26.5","40","2011-11-24 12:33","134.1","52.9","14","8.5","2011-11-17 13:21","13.0","2011-11-17 13:02","46.8","2011-11-17 00:00","76","105.0","127.7","384.17","...","...","...","6.3","hengchun"
"12","1014.6","1017.5","1021.4","2011-12-26 09:41","1007.2","2011-12-01 14:40","21.3","28.8","2011-12-07 11:17","16.5","2011-12-25 00:01","16.1","5.8","30","31.4","30","2011-12-09 07:04","29.9","20.3","8","1.5","2011-12-12 14:37","5.0","2011-12-01 03:01","13.5","2011-12-12 00:00","72","116.3","106.6","332.89","...","...","...","6.4","hengchun"
"01","1014.0","1016.9","1019.9","2012-01-12 08:55","1004.5","2012-01-15 15:03","21.0","28.2","2012-01-28 12:16","15.9","2012-01-27 06:38","16.1","4.0","30","25.3","30","2012-01-04 19:07","0.0","0.0","0","0.0","2012-12-05 00:00","0.0","2012-12-05 00:00","0.0","2012-12-05 00:00","74","119.0","185.4","451.78","...","...","...","5.0","hengchun"
"02","1012.5","1015.3","1019.5","2012-02-03 09:44","1005.2","2012-02-23 14:48","21.9","29.3","2012-02-24 11:35","16.0","2012-02-08 05:30","17.8","4.0","40","24.2","40","2012-02-08 08:12","76.8","37.6","11","7.0","2012-02-05 13:30","16.0","2012-02-05 13:25","26.5","2012-02-05 00:00","78","102.0","126.7","414.00","...","...","...","5.7","hengchun"
"03","1012.0","1014.8","1020.6","2012-03-27 09:54","1004.6","2012-03-07 14:45","24.0","31.2","2012-03-23 12:49","17.2","2012-03-24 18:06","19.2","4.0","40","26.2","40","2012-03-21 08:05","3.0","0.8","4","0.5","2012-03-22 16:47","1.0","2012-03-19 02:18","1.0","2012-03-19 00:00","75","137.4","186.5","590.49","...","...","...","5.1","hengchun"
"04","1009.5","1012.3","1017.7","2012-04-01 08:02","1004.3","2012-04-30 16:19","25.8","32.1","2012-04-24 14:36","20.3","2012-04-05 05:33","21.5","2.9","90","22.0","20","2012-04-03 20:30","39.7","16.0","8","6.0","2012-04-21 21:51","7.0","2012-04-21 21:01","19.0","2012-04-17 00:00","78","128.8","157.4","598.79","...","...","...","5.9","hengchun"
"05","1005.6","1008.4","1010.3","2012-05-18 22:09","1001.3","2012-05-20 17:16","27.4","33.4","2012-05-14 12:39","23.0","2012-05-18 01:31","23.2","2.1","80","16.5","330","2012-05-04 17:41","449.0","53.0","11","21.5","2012-05-17 06:54","70.5","2012-05-17 06:50","184.5","2012-05-17 00:00","78","123.8","174.2","608.29","...","...","...","5.7","hengchun"
"06","1002.1","1004.8","1009.5","2012-06-30 23:03","996.0","2012-06-12 13:21","28.2","32.6","2012-06-04 13:26","23.9","2012-06-14 00:28","25.1","2.7","90","22.9","200","2012-06-20 08:26","802.8","106.1","22","21.0","2012-06-10 13:57","59.5","2012-06-13 00:45","145.0","2012-06-13 00:00","84","89.9","129.1","485.82","...","...","...","7.2","hengchun"
"07","1003.3","1006.0","1009.8","2012-07-01 22:21","987.5","2012-07-31 15:15","28.6","33.5","2012-07-19 12:02","24.2","2012-07-23 00:11","25.0","2.5","290","15.9","360","2012-07-29 17:16","346.0","63.0","19","15.5","2012-07-24 00:40","55.0","2012-07-23 00:02","83.0","2012-07-21 00:00","81","116.6","192.9","651.94","...","...","...","6.0","hengchun"
"08","1000.7","1003.4","1008.5","2012-08-31 21:50","973.0","2012-08-24 06:26","28.0","32.8","2012-08-17 12:24","23.1","2012-08-25 04:49","25.5","2.7","280","41.1","210","2012-08-24 07:19","1083.3","99.1","23","30.0","2012-08-24 07:17","168.0","2012-08-24 07:00","615.0","2012-08-24 00:00","86","83.1","119.1","491.13","7","12","2012-08-15 13:00","7.3","hengchun"
"09","1007.0","1009.8","1012.6","2012-09-07 22:59","998.1","2012-09-28 17:01","28.1","33.3","2012-09-15 11:49","24.1","2012-09-30 06:22","23.2","2.8","30","23.0","30","2012-09-25 20:09","74.9","10.9","10","9.0","2012-09-23 22:28","20.5","2012-09-23 22:16","44.5","2012-09-23 00:00","76","147.2","202.4","585.64","...","...","...","5.2","hengchun"
"10","1010.8","1013.6","1017.2","2012-10-20 09:05","1005.5","2012-10-11 00:57","26.0","30.5","2012-10-16 10:53","21.7","2012-10-31 18:17","19.8","3.6","30","20.6","30","2012-10-31 16:24","5.0","4.1","4","1.0","2012-10-13 22:03","2.0","2012-10-13 21:25","2.0","2012-10-13 00:00","69","140.2","187.3","529.78","...","...","...","5.6","hengchun"
"11","1012.5","1015.3","1017.2","2012-11-16 09:14","1008.0","2012-11-22 14:56","24.5","29.8","2012-11-10 14:01","20.2","2012-11-28 06:02","19.5","3.9","30","23.1","60","2012-11-01 13:19","36.5","19.9","3","2.0","2012-11-17 07:50","7.0","2012-11-17 15:20","31.5","2012-11-17 00:00","74","111.4","173.7","418.57","...","...","...","5.1","hengchun"
"12","1013.9","1016.7","1019.8","2012-12-24 09:17","1007.7","2012-12-02 13:38","22.2","29.1","2012-12-16 14:02","15.6","2012-12-31 05:39","17.1","4.7","30","24.5","40","2012-12-06 05:38","25.2","21.1","8","3.5","2012-12-05 18:30","7.5","2012-12-05 18:31","9.0","2012-12-05 00:00","73","106.9","134.8","347.80","...","...","...","5.6","hengchun"
"01","1015.6","1018.4","1023.7","2013-01-18 09:10","1002.4","2013-01-13 13:51","21.4","27.7","2013-01-13 13:56","15.2","2013-01-16 06:48","15.6","4.2","30","29.5","20","2013-01-03 16:08","37.1","19.7","8","2.5","2013-01-13 03:53","5.0","2013-01-13 03:03","24.0","2013-01-13 00:00","70","111.9","157.4","394.58","...","...","...","4.9","hengchun"
"02","1014.7","1017.5","1019.7","2013-02-23 09:35","1008.6","2013-02-27 15:49","23.5","30.0","2013-02-27 13:02","18.0","2013-02-10 05:58","18.3","3.8","40","26.4","40","2013-02-08 08:39","13.5","13.3","6","3.0","2013-02-03 03:21","5.0","2013-02-03 03:20","6.5","2013-02-03 00:00","73","113.7","182.2","471.70","...","...","...","4.1","hengchun"
"03","1012.6","1015.4","1021.4","2013-03-05 09:00","1005.3","2013-03-24 15:38","24.3","32.1","2013-03-23 11:34","16.3","2013-03-07 06:19","18.3","3.4","40","23.7","40","2013-03-02 06:14","3.5","1.2","2","1.5","2013-03-27 01:51","3.0","2013-03-27 01:30","3.0","2013-03-27 00:00","70","149.7","226.9","563.99","...","...","...","4.2","hengchun"
"04","1009.6","1012.4","1015.6","2013-04-13 08:57","999.9","2013-04-06 04:46","25.0","31.2","2013-04-25 13:12","19.2","2013-04-07 06:14","19.9","3.5","40","23.2","20","2013-04-26 11:50","79.5","8.5","3","14.0","2013-04-06 03:21","49.5","2013-04-06 03:21","76.0","2013-04-06 00:00","74","131.3","179.5","521.84","...","...","...","5.5","hengchun"
"05","1007.5","1010.3","1013.6","2013-05-05 09:49","1002.4","2013-05-20 16:09","27.1","32.8","2013-05-30 10:59","19.9","2013-05-02 15:11","23.5","2.4","280","17.9","70","2013-05-02 13:43","287.5","44.3","15","24.5","2013-05-01 06:42","70.5","2013-05-01 06:42","78.0","2013-05-01 00:00","81","135.7","179.8","537.45","...","...","...","6.1","hengchun"
"06","1004.8","1007.5","1010.2","2013-06-05 21:44","998.1","2013-06-19 15:20","29.1","34.3","2013-06-06 12:49","23.9","2013-06-22 06:19","24.8","2.3","280","14.9","250","2013-06-27 14:19","183.5","26.9","11","10.5","2013-06-13 21:41","21.5","2013-06-13 16:40","59.0","2013-06-13 00:00","78","156.4","220.9","602.87","...","...","...","4.9","hengchun"
"07","1006.7","1009.4","1011.3","2013-07-08 10:01","991.3","2013-07-13 01:08","28.6","33.5","2013-07-04 11:30","23.5","2013-07-14 15:56","24.2","2.6","90","24.8","280","2013-07-13 02:46","239.0","47.3","17","14.5","2013-07-14 06:33","34.5","2013-07-17 09:29","79.5","2013-07-14 00:00","77","153.4","231.5","629.49","...","...","...","5.0","hengchun"
"08","1004.3","1007.1","1012.4","2013-08-03 21:34","984.5","2013-08-21 15:14","28.2","34.0","2013-08-09 12:20","23.2","2013-08-31 09:36","24.3","2.5","90","21.4","40","2013-08-01 13:49","597.5","84.8","21","16.0","2013-08-13 21:50","52.0","2013-08-13 21:29","144.0","2013-08-29 00:00","80","124.2","173.9","490.79","...","...","...","5.9","hengchun"
"09","1005.9","1008.6","1012.1","2013-09-06 21:18","977.6","2013-09-21 15:22","28.0","33.0","2013-09-19 14:50","23.3","2013-09-03 05:40","22.6","3.6","30","45.5","20","2013-09-21 12:26","450.5","61.1","14","13.0","2013-09-22 03:14","36.5","2013-09-22 02:27","298.5","2013-09-21 00:00","73","147.2","210.5","526.80","...","...","...","4.7","hengchun"
"10","1009.5","1012.3","1017.3","2013-10-28 08:43","994.6","2013-10-06 15:23","26.2","32.7","2013-10-09 12:35","20.2","2013-10-24 02:18","19.7","4.2","30","21.4","30","2013-10-31 22:47","28.0","10.1","9","4.0","2013-10-09 20:04","6.0","2013-10-09 19:36","9.5","2013-10-09 00:00","68","164.1","235.7","530.45","...","...","...","4.5","hengchun"
"11","1013.8","1016.6","1020.6","2013-11-29 09:21","1007.2","2013-11-25 02:31","24.2","30.2","2013-11-01 12:02","17.4","2013-11-30 01:57","18.9","5.0","30","25.4","30","2013-11-26 07:27","59.0","17.9","7","5.0","2013-11-02 04:47","11.0","2013-11-02 20:49","42.5","2013-11-02 00:00","73","144.4","164.5","393.53","...","...","...","4.8","hengchun"
"12","1014.2","1017.0","1019.8","2013-12-22 09:15","1005.3","2013-12-17 13:44","21.1","29.0","2013-12-09 12:35","15.6","2013-12-28 00:56","15.1","4.6","30","29.0","20","2013-12-24 17:44","119.5","19.3","8","13.0","2013-12-17 00:42","47.0","2013-12-17 00:08","74.0","2013-12-17 00:00","69","112.4","101.9","278.48","...","...","...","6.2","hengchun"
"01","1016.9","1019.7","1023.8","2014-01-18 23:10","1009.1","2014-01-03 14:24","20.5","28.1","2014-01-03 10:38","15.6","2014-01-22 05:10","13.3","4.7","30","28.4","70","2014-01-14 18:03","1.0","1.1","2","0.5","2014-01-13 00:10","0.5","2014-01-13 00:07","0.5","2014-01-13 00:00","64","136.0","206.1","380.72","...","...","...","3.7","hengchun"
"02","1013.8","1016.6","1023.1","2014-02-21 09:50","1005.2","2014-02-07 15:12","21.2","28.3","2014-02-06 13:23","15.6","2014-02-20 06:06","16.1","3.5","30","27.8","40","2014-02-04 10:07","12.5","13.5","8","1.0","2014-02-19 21:04","2.5","2014-02-19 20:39","5.5","2014-02-19 00:00","74","101.8","148.3","352.42","...","...","...","5.0","hengchun"
"03","1014.5","1017.4","1021.9","2014-03-14 22:22","1005.5","2014-03-31 14:59","22.4","31.0","2014-03-28 12:58","17.0","2014-03-21 19:57","17.2","4.0","40","25.6","20","2014-03-21 05:49","61.0","5.6","2","14.0","2014-03-26 15:28","22.0","2014-03-31 18:15","37.0","2014-03-31 00:00","73","148.9","191.2","489.78","...","...","...","5.0","hengchun"
"04","1010.9","1013.7","1017.3","2014-04-06 08:41","1005.6","2014-04-01 14:12","25.2","31.2","2014-04-25 13:31","20.5","2014-04-05 04:22","19.9","2.9","40","22.2","50","2014-04-04 10:25","12.0","5.3","4","3.0","2014-04-01 05:58","6.5","2014-04-01 05:58","9.0","2014-04-01 00:00","73","153.0","186.3","518.53","...","...","...","4.7","hengchun"
"05","1008.4","1011.2","1014.5","2014-05-06 09:01","1003.2","2014-05-15 16:34","27.8","34.5","2014-05-24 11:36","22.3","2014-05-07 05:36","22.8","2.2","280","20.6","30","2014-05-03 18:48","40.5","8.0","9","4.5","2014-05-28 05:15","10.0","2014-05-28 21:21","17.5","2014-05-28 00:00","75","144.8","182.7","541.28","...","...","...","5.8","hengchun"
"06","1003.2","1005.9","1009.2","2014-06-30 22:27","995.7","2014-06-10 15:35","28.8","33.5","2014-06-30 12:00","24.5","2014-06-14 02:40","24.9","2.2","280","24.1","20","2014-06-12 17:07","323.0","62.2","16","13.5","2014-06-14 20:45","42.5","2014-06-08 15:43","121.5","2014-06-08 00:00","80","137.6","172.1","510.69","...","...","...","6.1","hengchun"
"07","1003.7","1006.4","1010.3","2014-07-26 22:04","987.7","2014-07-22 20:03","29.9","35.0","2014-07-04 13:49","25.5","2014-07-27 05:52","26.1","2.6","280","19.9","280","2014-07-23 03:31","123.0","26.4","11","16.5","2014-07-23 04:08","34.0","2014-07-23 03:19","45.0","2014-07-23 00:00","80","165.6","241.6","608.57","...","...","...","4.6","hengchun"
"08","1005.8","1008.5","1012.6","2014-08-29 09:31","996.2","2014-08-01 03:29","28.7","33.8","2014-08-28 13:37","24.3","2014-08-23 05:45","25.6","2.3","280","15.2","270","2014-08-01 08:22","426.5","63.3","16","12.5","2014-08-12 08:52","30.5","2014-08-12 08:52","80.5","2014-08-08 00:00","84","131.0","197.7","522.60","...","...","...","5.4","hengchun"
"09","1006.4","1009.2","1011.8","2014-09-17 20:47","985.4","2014-09-21 10:00","28.9","34.5","2014-09-06 12:11","24.2","2014-09-21 13:03","23.7","2.5","280","28.3","140","2014-09-21 04:59","427.5","37.4","10","18.0","2014-09-21 13:57","52.5","2014-09-21 13:27","260.0","2014-09-21 00:00","74","134.3","230.9","535.12","...","...","...","4.3","hengchun"
"10","1010.9","1013.7","1016.9","2014-10-16 08:23","1001.8","2014-10-10 15:20","26.7","32.1","2014-10-02 11:23","22.6","2014-10-16 05:09","19.0","4.0","30","22.5","40","2014-10-22 19:41","47.0","5.4","5","7.5","2014-10-22 17:10","20.0","2014-10-22 16:57","34.0","2014-10-22 00:00","63","171.0","258.6","558.47","...","...","...","3.3","hengchun"
"11","1013.2","1016.0","1017.9","2014-11-19 07:47","1007.8","2014-11-01 15:37","25.5","31.2","2014-11-01 12:01","21.3","2014-11-25 06:30","19.0","4.0","40","23.9","50","2014-11-13 09:11","6.0","2.8","2","1.0","2014-11-15 03:12","3.5","2014-11-15 03:10","5.5","2014-11-15 00:00","68","126.9","194.6","408.12","5","6","2014-11-01 12:00","4.6","hengchun"
"12","1016.8","1019.6","1024.3","2014-12-18 09:58","1009.4","2014-12-01 03:53","21.4","26.9","2014-12-15 13:11","16.3","2014-12-17 19:36","13.7","5.7","50","25.9","50","2014-12-22 09:53","9.0","9.5","6","1.0","2014-12-05 04:10","1.5","2014-12-25 21:43","4.0","2014-12-26 00:00","62","128.7","117.6","312.82","...","...","...","6.3","hengchun"
"01","1017.0","1019.8","1023.4","2015-01-01 20:48","1010.1","2015-01-06 14:06","20.8","27.9","2015-01-06 12:28","17.2","2015-01-02 01:27","13.2","5.2","50","28.2","30","2015-01-12 14:23","34.5","7.3","3","5.5","2015-01-14 03:54","17.0","2015-01-14 03:48","33.0","2015-01-14 00:00","62","139.6","189.8","388.33","4","6","2015-01-31 13:00","4.4","hengchun"
"02","1016.0","1018.8","1023.7","2015-02-02 09:44","1009.5","2015-02-24 14:49","21.6","29.8","2015-02-25 12:56","12.9","2015-02-11 06:32","15.4","3.6","50","23.4","40","2015-02-09 06:04","29.0","1.5","2","11.5","2015-02-22 03:37","28.5","2015-02-22 02:52","28.5","2015-02-22 00:00","68","118.1","178.9","407.13","...","...","...","4.8","hengchun"
"03","1014.8","1017.6","1022.5","2015-03-25 22:12","1007.3","2015-03-03 14:57","23.8","30.9","2015-03-31 14:23","17.9","2015-03-14 04:49","17.5","3.2","50","26.1","20","2015-03-24 21:39","0.1","0.7","1","0.1","2015-03-27 10:30","0.1","2015-03-27 10:30","0.1","2015-03-27 00:00","68","137.4","183.2","469.19","...","...","...","4.8","hengchun"
"04","1011.6","1014.4","1016.9","2015-04-11 21:23","1005.7","2015-04-19 15:24","25.9","32.6","2015-04-05 13:54","17.2","2015-04-14 04:37","20.3","2.9","50","23.7","60","2015-04-11 01:56","102.8","23.6","4","12.0","2015-04-06 10:02","48.5","2015-04-06 09:31","89.5","2015-04-06 00:00","72","158.6","232.5","556.19","7","9","2015-04-08 12:00","4.3","hengchun"
"05","1007.8","1010.6","1013.1","2015-05-14 08:51","1003.0","2015-05-28 15:44","27.9","33.0","2015-05-10 11:46","23.3","2015-05-13 02:20","23.3","2.5","290","15.3","280","2015-05-03 12:31","391.8","77.7","8","16.5","2015-05-25 05:45","76.0","2015-05-25 05:25","142.0","2015-05-25 00:00","76","135.8","198.8","518.02","...","...","...","5.5","hengchun"
"06","1006.7","1009.4","1010.4","2015-06-01 22:25","1001.8","2015-06-18 16:59","30.2","34.6","2015-06-20 12:24","25.7","2015-06-23 02:03","24.7","2.3","290","14.9","280","2015-06-18 14:42","35.5","4.7","6","4.0","2015-06-23 21:15","7.5","2015-06-22 00:25","13.0","2015-06-22 00:00","73","186.4","296.7","687.51","...","...","...","3.9","hengchun"
"07","1003.6","1006.3","1012.5","2015-07-28 21:40","991.2","2015-07-10 16:19","29.0","35.6","2015-07-04 11:49","23.3","2015-07-28 03:25","24.3","2.5","290","17.6","290","2015-07-11 04:59","493.2","51.1","15","18.5","2015-07-07 09:16","45.5","2015-07-07 17:11","169.0","2015-07-07 00:00","76","142.3","195.2","542.32","...","...","...","5.8","hengchun"
"08","1004.0","1006.7","1010.8","2015-08-02 09:30","976.4","2015-08-08 03:30","28.9","34.1","2015-08-21 11:27","24.1","2015-08-31 05:16","24.3","2.3","290","34.9","280","2015-08-08 05:04","237.2","50.6","18","16.0","2015-08-22 01:45","43.0","2015-08-22 01:43","61.5","2015-08-22 00:00","77","128.2","165.7","471.63","...","...","...","6.4","hengchun"
