"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)","station"
"11","1006.7","1016.7","1014.5","2013-11-29 07:26","1000.8","2013-11-01 13:40","22.1","32.2","2013-11-01 13:25","9.9","2013-11-30 06:03","15.6","1.4","350","11.6","10","2013-11-25 10:58","22.6","15.4","6","3.2","2013-11-25 00:12","9.6","2013-11-25 00:07","15.4","2013-11-25 00:00","68","74.1","136.3","360.25","...","...","...","6.1","taichung"
"12","1007.7","1017.8","1013.9","2013-12-22 08:50","999.0","2013-12-17 13:38","17.1","28.4","2013-12-07 13:18","9.1","2013-12-28 06:10","11.3","1.6","10","13.4","350","2013-12-16 21:01","69.4","44.2","15","8.5","2013-12-17 02:30","17.2","2013-12-17 02:04","38.4","2013-12-17 00:00","70","61.7","128.2","321.38","...","...","...","6.6","taichung"
"01","1009.9","1020.2","1016.3","2014-01-18 21:03","1001.9","2014-01-03 15:07","16.4","26.4","2014-01-03 14:25","7.2","2014-01-23 05:26","9.7","1.5","10","13.2","360","2014-01-18 16:19","2.0","3.1","1","0.5","2014-01-03 05:37","0.9","2014-01-03 05:00","2.0","2014-01-03 00:00","66","71.8","236.9","441.67","...","...","...","2.8","taichung"
"02","1006.9","1017.1","1016.3","2014-02-21 08:24","997.6","2014-02-02 14:44","17.0","29.1","2014-02-03 13:13","6.7","2014-02-21 05:56","12.0","1.5","350","11.5","360","2014-02-20 16:51","45.2","38.5","12","3.7","2014-02-08 22:40","5.0","2014-02-09 01:24","14.5","2014-02-09 00:00","74","65.7","137.9","367.90","...","...","...","6.3","taichung"
"03","1007.0","1017.1","1013.6","2014-03-16 09:21","997.9","2014-03-31 16:34","19.8","31.8","2014-03-29 12:21","13.4","2014-03-09 03:54","14.5","1.3","350","10.9","350","2014-03-20 19:40","57.5","32.0","13","6.5","2014-03-13 07:25","11.5","2014-03-12 20:12","15.4","2014-03-12 00:00","72","80.0","108.6","387.20","...","...","...","7.7","taichung"
"04","1003.4","1013.3","1009.5","2014-04-07 08:43","999.2","2014-04-01 14:37","24.1","32.5","2014-04-27 13:13","17.1","2014-04-05 04:42","17.8","1.3","350","11.3","360","2014-04-22 16:08","15.6","14.1","8","1.6","2014-04-30 23:47","3.8","2014-04-30 23:00","7.7","2014-04-30 00:00","69","111.3","143.6","435.17","...","...","...","6.7","taichung"
"05","1000.9","1010.7","1007.4","2014-05-06 09:10","995.5","2014-05-27 16:36","25.8","33.7","2014-05-12 12:00","16.5","2014-05-06 04:08","21.5","1.1","210","12.5","30","2014-05-15 20:42","659.6","127.8","22","19.0","2014-05-15 20:51","86.0","2014-05-15 20:50","220.4","2014-05-15 00:00","78","73.5","75.8","343.88","...","...","...","8.3","taichung"
"06","995.4","1005.1","1001.4","2014-06-30 20:44","988.5","2014-06-10 15:51","28.6","34.9","2014-06-22 13:37","23.0","2014-06-06 04:42","23.4","1.6","200","11.4","200","2014-06-21 13:04","181.0","44.3","15","18.0","2014-06-05 16:32","47.5","2014-06-05 15:50","63.2","2014-06-06 00:00","74","114.0","152.1","482.42","...","...","...","6.5","taichung"
"07","995.9","1005.5","1002.5","2014-07-26 22:48","970.6","2014-07-23 02:04","30.1","36.4","2014-07-17 14:37","23.9","2014-07-23 06:41","24.0","1.6","330","22.2","170","2014-07-23 10:04","149.1","37.9","10","10.0","2014-07-25 19:33","22.0","2014-07-23 03:17","90.3","2014-07-23 00:00","71","142.8","207.0","540.78","...","...","...","5.6","taichung"
"08","998.1","1007.8","1005.0","2014-08-28 00:01","987.7","2014-08-01 15:54","28.9","35.1","2014-08-01 14:26","23.6","2014-08-31 05:53","24.1","1.4","180","11.6","160","2014-08-18 15:58","278.3","45.5","12","13.0","2014-08-08 19:29","55.6","2014-08-03 22:58","57.5","2014-08-30 00:00","76","120.9","172.9","496.54","8","10","2014-08-10 12:00","6.6","taichung"
"09","998.8","1008.5","1005.0","2014-09-27 07:52","985.5","2014-09-21 14:17","29.2","36.5","2014-09-15 13:56","23.7","2014-09-22 04:00","24.0","1.2","340","10.3","250","2014-09-22 01:25","47.0","15.7","8","7.8","2014-09-23 18:35","9.5","2014-09-22 01:08","16.6","2014-09-22 00:00","74","117.7","183.6","458.33","...","...","...","5.0","taichung"
"10","1003.6","1013.4","1009.3","2014-10-16 08:43","993.9","2014-10-10 14:43","25.6","33.7","2014-10-21 13:21","18.8","2014-10-15 06:32","18.2","1.6","340","16.5","20","2014-10-11 11:22","0.0","0.0","0","0.0","2014-10-30 00:00","0.0","2014-10-30 00:00","0.0","2014-10-30 00:00","65","118.9","256.1","488.16","...","...","...","2.9","taichung"
"11","1006.0","1015.9","1010.6","2014-11-09 08:14","1000.4","2014-11-01 14:42","23.1","30.9","2014-11-30 13:11","16.7","2014-11-20 06:11","17.4","1.3","320","12.6","350","2014-11-02 14:02","0.8","7.6","1","0.1","2014-11-15 01:50","0.1","2014-11-15 01:50","0.8","2014-11-15 00:00","72","81.9","172.3","337.38","4","6","2014-11-06 12:00","5.2","taichung"
"12","1010.1","1020.3","1017.0","2014-12-18 08:41","1002.1","2014-12-01 13:10","17.1","26.9","2014-12-24 12:07","8.7","2014-12-18 05:46","11.5","1.6","360","12.9","20","2014-12-16 09:29","30.0","43.6","11","1.5","2014-12-04 02:05","3.4","2014-12-28 03:40","6.9","2014-12-25 00:00","71","56.0","116.1","260.79","...","...","...","6.4","taichung"
"01","1009.9","1020.1","1015.6","2015-01-02 09:04","1002.2","2015-01-06 13:12","17.1","28.7","2015-01-06 13:05","8.2","2015-01-23 06:03","10.8","1.4","350","11.2","10","2015-01-14 11:06","12.3","19.1","6","0.8","2015-01-14 00:01","2.5","2015-01-14 00:01","5.7","2015-01-14 00:00","68","71.3","203.5","364.27","4","6","2015-01-30 13:00","4.8","taichung"
"02","1008.8","1019.0","1016.2","2015-02-01 09:05","1002.2","2015-02-24 15:00","18.1","28.9","2015-02-28 14:43","9.6","2015-02-13 04:55","12.4","1.4","330","14.4","350","2015-02-05 14:31","21.2","9.4","4","3.6","2015-02-24 08:10","7.5","2015-02-16 04:01","12.6","2015-02-16 00:00","71","74.2","160.3","363.12","...","...","...","5.8","taichung"
"03","1007.6","1017.6","1014.9","2015-03-26 09:40","999.9","2015-03-18 14:22","20.7","34.7","2015-03-19 11:57","13.0","2015-03-11 05:11","15.7","1.3","320","11.4","10","2015-03-09 10:20","24.8","32.4","10","1.0","2015-03-26 03:18","2.5","2015-03-23 16:41","7.4","2015-03-26 00:00","74","87.5","143.7","369.84","...","...","...","6.9","taichung"
"04","1004.1","1014.0","1010.1","2015-04-11 21:53","997.5","2015-04-19 14:43","24.4","34.1","2015-04-18 12:59","12.4","2015-04-15 05:37","17.9","1.6","340","10.3","300","2015-04-08 13:38","47.7","28.8","7","6.5","2015-04-11 07:40","12.5","2015-04-11 07:25","25.3","2015-04-11 00:00","68","138.4","204.0","534.86","...","...","...","5.5","taichung"
"05","1000.0","1009.8","1004.8","2015-05-15 09:02","995.0","2015-05-28 15:59","26.9","34.7","2015-05-09 11:30","21.7","2015-05-20 13:44","22.3","1.4","180","9.4","230","2015-05-18 13:34","662.0","118.7","15","15.0","2015-05-28 06:43","49.0","2015-05-12 06:40","115.0","2015-05-20 00:00","77","97.9","120.9","392.55","...","...","...","7.2","taichung"
"06","998.9","1008.5","1002.5","2015-06-03 09:31","994.6","2015-06-17 16:31","29.7","35.5","2015-06-27 12:21","23.2","2015-06-01 02:40","23.7","1.7","190","10.4","230","2015-06-29 11:47","65.5","16.2","6","10.5","2015-06-23 14:50","28.5","2015-06-23 14:09","31.7","2015-06-23 00:00","71","140.4","240.1","569.28","...","...","...","5.2","taichung"
"07","995.6","1005.2","1004.3","2015-07-29 09:22","985.7","2015-07-10 16:56","29.2","35.6","2015-07-21 13:28","23.0","2015-07-29 02:50","23.2","1.6","160","14.7","350","2015-07-10 09:50","71.4","35.5","12","12.0","2015-07-28 16:36","23.5","2015-07-28 16:31","24.9","2015-07-28 00:00","71","132.4","164.3","489.41","7","10","2015-07-21 12:00","6.9","taichung"
"08","995.8","1005.5","1003.9","2015-08-02 07:34","950.0","2015-08-08 05:50","28.0","35.5","2015-08-21 12:28","22.9","2015-08-30 05:43","23.1","1.4","190","30.5","160","2015-08-08 17:51","368.4","131.7","15","14.0","2015-08-26 17:18","30.0","2015-08-16 11:39","65.4","2015-08-26 00:00","76","102.5","132.0","382.30","...","...","...","7.3","taichung"
"09","999.8","1009.5","1006.2","2015-09-30 21:34","966.5","2015-09-28 19:44","27.8","33.8","2015-09-15 12:00","22.9","2015-09-19 05:00","22.1","1.4","340","30.3","350","2015-09-28 18:30","183.9","42.7","6","9.0","2015-09-07 14:54","30.5","2015-09-07 14:34","83.8","2015-09-07 00:00","72","117.9","187.3","456.85","...","...","...","5.2","taichung"
